date,category,surface_m2,price_total_eur,garage_included,price_per_m2,year,surface_log,category_encoded,estimated_garage_value,price_without_garage,price_per_m2_adjusted,price_per_m2_normalized
2025-03,A07,156,370000,True,2371.794871794872,2025,5.049856007249537,3,16000,354000,2269.230769230769,0.4849599125236472
2025-04,A03,97,175000,True,1804.1237113402065,2025,4.574710978503383,2,16000,159000,1639.1752577319587,-0.7200130417551461
2025-04,A03,129,235000,True,1821.7054263565888,2025,4.859812404361672,2,16000,219000,1697.6744186046512,-0.6081341590009687
2025-04,A02,103,305000,True,2961.1650485436894,2025,4.634728988229636,1,16000,289000,2805.8252427184466,1.511189849676322
2025-05,A02,120,355000,True,2958.333333333333,2025,4.787491742782046,1,16000,339000,2825.0,1.547861323074227
2025-06,A02,82,215000,True,2621.951219512195,2025,4.406719247264253,1,16000,199000,2426.829268292683,0.7863649880110263
2025-07,A02,118,230000,True,1949.1525423728813,2025,4.770684624465665,1,16000,214000,1813.5593220338983,-0.3865057915111365
2025-08,A02,131,248000,True,1893.1297709923665,2025,4.875197323201151,1,16000,232000,1770.9923664122136,-0.4679145393659079
2025-08,A03,125,180000,True,1440.0,2025,4.8283137373023015,2,16000,164000,1312.0,-1.3457314581187625
2025-09,A03,68,150000,False,2205.8823529411766,2025,4.219507705176107,2,0,150000,2205.8823529411766,0.3638068919846034
2025-10,A03,109,265000,True,2431.192660550458,2025,4.6913478822291435,2,16000,249000,2284.4036697247707,0.5139778869712365
2025-10,A03,103,150000,True,1456.3106796116506,2025,4.634728988229636,2,16000,134000,1300.9708737864078,-1.366824518260545
2025-10,A07,269,710000,True,2639.4052044609666,2025,5.594711379601839,3,16000,694000,2579.925650557621,1.0791598237999136
2025-10,A03,101,165000,True,1633.6633663366338,2025,4.61512051684126,2,16000,149000,1475.247524752475,-1.0335226946214813
2025-11,A02,86,190000,True,2209.3023255813955,2025,4.454347296253507,1,16000,174000,2023.2558139534883,0.0145360163276075
